bucket,listId,status,lastGeneratedAt,rowId,displayName,unit,stored,sourceSum,expected,delta,nSources,oldCeilExplains
PRE_ROOT_B,3de51a7a-5dc6-4d7e-a47d-e5533c45a9c2,active,2026-08-21T23:11:39.412Z,513dd074-f155-4ff2-9b4f-f3e9a6f405b2,Red onion,each,1,0.5,0.5,0.5,2,true
PRE_ROOT_B,13645f91-507a-4614-8bd2-130e09aef3b0,active,2026-08-21T22:53:38.200Z,f43238ec-5484-4ef5-80f0-1b672c5d7f6b,Yellow onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,13645f91-507a-4614-8bd2-130e09aef3b0,active,2026-08-21T22:53:38.200Z,19381187-b6ac-4c95-9343-1c071c790a39,Red onion,each,1,0.5,0.5,0.5,2,true
PRE_ROOT_B,13645f91-507a-4614-8bd2-130e09aef3b0,active,2026-08-21T22:53:38.200Z,5a90b1ee-ffc3-4601-9bfc-80533ae0189c,Lemon,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,65ee0f93-27d7-4370-ae06-ca69fc2de17c,active,2026-08-24T01:25:38.040Z,07cc56ad-ca73-4316-82d8-34801600ff2a,White onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,65ee0f93-27d7-4370-ae06-ca69fc2de17c,active,2026-08-24T01:25:38.040Z,104b0ab1-09af-47fe-a8cc-03dd07f3fac5,green cabbage,head,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,d17828c9-a740-4662-8bac-4faadbb4e074,active,2026-08-22T00:13:26.935Z,7b12992e-e3c4-4cd0-8586-c126d225a419,Yellow onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,b51f22ce-60e3-402e-ab14-c988f32ac082,active,2026-08-23T11:52:53.490Z,7f183adf-59bc-4992-b64d-c58a602a7e20,White onion,each,1,0.5,0.5,0.5,1,true
PRE_ROOT_B,24fd18b3-ddf9-4c7f-ae5b-5f2a05d16734,active,2026-08-24T01:21:40.745Z,2367c81a-5230-406a-9d33-0161cdf6126d,Lemon,each,3,2.5,2.5,0.5,2,true
PRE_ROOT_B,06451a2c-f4f7-40a0-a60b-450bb9e4570b,active,2026-08-13T02:10:47.437Z,a207bc19-d04f-4e69-9860-5a1bdfab227e,fresh rosemary,tablespoon,0.625,1,1,-0.375,1,false
PRE_ROOT_B,d51f9ce9-7aee-4172-8e1d-2d2156ce9afa,active,2026-07-11T21:15:54.310Z,4e77ac1f-3f93-40bd-a4d2-c278df200658,1 jar (16 oz) bread and butter pickles,cup,0.75,0.5,0.5,0.25,1,false
PRE_ROOT_B,7d1d049c-b42a-4887-828a-3cf6b75c456f,active,2026-08-23T01:20:57.860Z,3cfc305f-9acf-4bff-a097-a1908a8027ac,fresh cilantro,bunch,1,0.75,0.75,0.25,2,true
PRE_ROOT_B,d51f9ce9-7aee-4172-8e1d-2d2156ce9afa,active,2026-07-11T21:15:54.310Z,025d8650-9b40-4726-8807-bb0ceb78399d,kosher salt,tablespoon,2.1667,2,2,0.16670000000000007,1,false
PRE_ROOT_B,d51f9ce9-7aee-4172-8e1d-2d2156ce9afa,active,2026-07-11T21:15:54.310Z,a169e7ad-0c6b-498d-99bf-93bb9aa16b92,mayonnaise,cup,0.7917,0.66,0.6666666666666666,0.12503333333333333,2,false
PRE_ROOT_B,4bf45cf6-58b0-49f7-be37-dd89d1105d00,active,2026-08-10T23:56:07.403Z,4d76dd21-4618-4db8-824b-7f2974a96902,hot sauce,cup,0.625,0.5,0.5,0.125,1,false
PRE_ROOT_B,d51f9ce9-7aee-4172-8e1d-2d2156ce9afa,active,2026-07-11T21:15:54.310Z,ab7c2d57-54eb-449c-a2a5-88af22fccd42,apple cider vinegar,cup,0.3125,0.25,0.25,0.0625,1,false
PRE_ROOT_B,613ed74b-4865-4d2f-bb85-ef4654b75d8a,active,2026-07-08T00:12:26.537Z,0cb83f7b-750b-4160-8c71-71d164a13595,1 can (14.5 oz) low-sodium beef broth,cup,0.33,0.33,0.3333333333333333,-0.0033333333333332993,1,false
